Ritual Name,Frequency,Day/Time,Channel,Description,Owner,Status,Next Date
Win Wednesday,Weekly,Wednesday,Discord #wins,Celebrate all wins from the week,Community,Ready to Launch,
Tip Tuesday,Weekly,Tuesday,Discord #help,Share one JOC tip that worked,Community,Ready to Launch,
Help Friday,Weekly,Friday,Discord #help,Post your hardest challenge of the week,Community,Ready to Launch,
Office Hours,Weekly,Wednesday 3PM ET,Voice Channel,Live Q&A with Doug,Founder,Ready to Launch,
Hero Spotlight,Weekly,Monday,Email + LinkedIn,Feature one hero's story,Marketing,Ready to Launch,
Monthly Awards,Monthly,Last Friday,Discord + Email,5 category awards celebration,Founder,Ready to Launch,
Quarterly Summit,Quarterly,TBD,Virtual Event,Hero summit with networking,Founder,Planned,
AMA Session,Monthly,Mid-month,Discord,Guest expert or founder Q&A,Founder,Planned,
New Member Welcome,Daily,Every morning,Discord #rookie-zone,Welcome new members,Bot,Automated,
First Win Ceremony,As needed,Within 2 hours,Discord #hero-spotlight,Celebrate first contract wins,Bot + Founder,Automated,
