Task,Project,Priority,Due Date,Status,Assigned To,Notes,Estimated Hours
Set up Supabase database,Backend,High,2026-02-09,Todo,Doug,Get connection string and wire up backend,2
Push code to GitHub,DevOps,High,2026-02-09,Todo,Doug,Authenticate gh CLI and push repo,1
Test backend API endpoints,Backend,High,2026-02-09,Todo,Doug,Verify auth projects measurements files all work,2
Publish blog post: What is JOC?,Marketing,High,2026-02-10,Todo,Doug,Upload to website and optimize SEO,2
Convert cheat sheet HTML to PDF,Marketing,Medium,2026-02-10,Todo,Doug,Print HTML to PDF with styling,1
Record demo video,Marketing,Medium,2026-02-15,Todo,Doug,Screen recording with Jacobi drawings,4
Set up Stripe payments,Backend,Medium,2026-02-15,Todo,Doug,Create account and integrate with backend,4
Create Notion workspace,Operations,Low,2026-02-09,Done,Doug,Import CSV files and set up structure,1
Write Week 2 blog posts,Marketing,Low,2026-02-17,Todo,Doug,How to Win More JOC Contracts,3
Launch landing page to production,DevOps,Medium,2026-02-12,Todo,Doug,Deploy to Vercel/Netlify with custom domain,2
Set up email newsletter,Marketing,Low,2026-02-20,Todo,Doug,ConvertKit or Mailchimp for lead nurturing,3
Create LinkedIn content for Week 2,Marketing,Low,2026-02-17,Todo,Doug,5 posts for founder journey,2
Research JOC associations for outreach,Marketing,Low,2026-02-25,Todo,Doug,Find 10 associations to pitch,2
Set up analytics (Google Analytics + Mixpanel),Product,Medium,2026-02-15,Todo,Doug,Track conversions and user behavior,2
Create onboarding email sequence,Marketing,Low,2026-02-22,Todo,Doug,5-email welcome series for new users,3
Beta tester outreach,Customers,High,2026-02-15,Todo,Doug,Contact 20 Fire Protection contractors,4
Fix npm security vulnerabilities,Backend,Low,2026-02-12,Todo,Doug,Run npm audit fix,1
Write API documentation,Product,Low,2026-02-20,Todo,Doug,Document all endpoints for developers,4
Create video thumbnail templates,Marketing,Low,2026-02-18,Todo,Doug,Consistent YouTube branding,2
Set up Calendly for demos,Sales,Medium,2026-02-15,Todo,Doug,Allow prospects to book calls,1
